Year,2014,2015,2016,2017,2018
1977,186808,449277,132285,67950,120453
1978,227088,483965,143660,74475,130267
1979,239480,474895,140575,71785,126010
1980,238081,459504,140510,72545,123733
1981,252175,475040,160675,82590,151436
1982,285659,493067,195575,98600,188497
1983,285396,467587,208360,101520,197736
1984,262246,428067,210755,101765,200333
1985,244848,399136,214060,116150,218129
1986,234405,376380,211320,138020,242500
1987,226094,354220,203960,157635,254206
1988,211026,331807,202310,171305,255330
1989,202045,320414,208230,186405,263180
1990,192004,300556,204735,190465,260761
1991,172390,277791,184630,176205,236943
1992,151710,261240,167680,164150,215133
1993,144063,257833,153455,154270,199049
1994,146202,269945,154515,159545,200625
1995,155479,280725,155935,164135,201299
1996,150300,271803,140470,148525,180727
1997,141547,261124,121770,127535,151465
1998,128100,246415,104710,108470,122877
1999,122142,239692,94670,97520,107276
2000,110458,222655,84750,87170,95443
2001,109422,213974,77685,80405,87620
2002,102436,204412,75600,78825,82855
2003,90860,197263,78190,81325,82785
2004,87923,197748,80825,83360,85552
2005,87611,193289,76535,79250,83110
2006,83399,179638,67700,71040,76069
2007,79240,166316,57805,61235,66572
2008,73601,152734,51225,54470,59467
2009,73230,152479,53605,57740,62478
2010,81752,168483,69070,75775,81083
2011,95863,189732,77630,86915,95334
2012,116606,213863,81330,89920,105408
2013,146930,230967,85110,88915,109747
2014,147000,223789,81115,81125,109814
2015,,202714,75485,69555,76280
2016,,,91210,56455,60085
2017,,,,47326,45374
2018,,,,,39723
